ncm,descripcion,die_aec,tasa_estadistica,iva,iva_reducido,bk_bit,nota
02044100,--En canales o medias canales,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02044200,En envases inmediatos de contenido neto inferior o igual a 5 kg (R.257/00 ME),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02044300,En envases inmediatos de contenido neto inferior o igual a 5 kg (R.420/99 MEYOSP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02045000,-Carne de animales de la especie caprina,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02050000,Cuartos completos,10,3,21,false,,Base NCM feb-2023 (Kaggle).
02061000,Sesos. quijadas. pulmon. corazon. riñones. centro de entraña. medula y pajarilla (Dto 499/98. RG 159/98 AFIP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02062100,Sin epitelio (Dto. 499/98; RG 159/98 AFIP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02062200,--Higados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02062910,Colas (rabos),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02062990,Sesos. quijadas. pulmon. corazon. riñones. centro de entraña. medula. pajarilla (Dto. 499/98; RG 159/98 AFIP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02063000,-De la especie porcina. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02064100,--Higados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02064900,--Los demas,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02068000,De la especie ovina (R.2507/93 ex-ANA),10,3,10.5,true,,IVA varía a nivel SIM en base 2023 (se tomó el mayoritario) — verificar
02069000,De la especie ovina (R.2507/93 ex-ANA),10,3,10.5,true,,IVA varía a nivel SIM en base 2023 (se tomó el mayoritario) — verificar
02071100,De peso inferior o igual a 1 kg.,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02071200,De peso inferior o igual a 1 kg.,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02071300,En envases inmediatos de contenido neto inferior o igual a 2 kg (R.420/99 MEYOSP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02071400,En envases inmediatos de contenido neto inferior o igual a 15 kg (R.420/99 MEYOSP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02072400,--Sin trocear. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02072500,En envases inmediatos de contenido neto inferior o igual a 2 kg (R.420/99 ME),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02072600,En envases inmediatos de contenido neto inferior o igual a 2 kg (R.420/99 MEYOSP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02072700,En envases inmediatos de contenido neto inferior o igual a 2 kg (R.420/99 MEYOSP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02074100,--Sin trocear. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02074200,--Sin trocear. congelados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02074300,--Higados grasos. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02074400,--Los demas. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02074500,--Los demas. congelados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02075100,--Sin trocear. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02075200,--Sin trocear. congelados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02075300,--Higados grasos. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02075400,--Los demas. frescos o refrigerados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02075500,--Los demas. congelados,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02076000,-De pintada,10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02081000,Trozos (R.747/95 MEYOSP),10,3,10.5,true,,Base NCM feb-2023 (Kaggle).
02083000,En envases inmediatos de contenido neto inferior o igual a 5 kg (R.1044/00 ME),10,3,21,false,,Base NCM feb-2023 (Kaggle).
02084000,En envases inmediatos de contenido neto inferior o igual a 5 kg (R.1044/00 ME),10,3,21,false,,Base NCM feb-2023 (Kaggle).
